Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,31.768665313720703,34.579213879866685,26.258096178340235,28.358113128456118,855215656
1,2007-10-08,30.1423397064209,32.84236040618467,29.95286374301272,32.84236040618467,126671715
2,2007-10-09,32.19498825073242,32.4792000679655,28.53180181972493,30.1581290413598,116725709
3,2007-10-10,32.494991302490234,33.158155089594345,32.21077947464601,33.03183705597415,67931378
4,2007-10-11,36.1265869140625,37.89502171776627,32.210769745061356,37.89502171776627,106320954
5,2007-10-12,35.88975143432617,37.2318667957815,35.05290388911777,35.36869573887197,99410791
6,2007-10-15,36.363441467285156,36.85292143472364,36.04764959791891,36.63186541288673,41814972
7,2007-10-16,40.0739860534668,40.705573919704236,36.158168695276615,36.410800415211355,138614496
8,2007-10-17,43.2003288269043,44.21086000413223,33.505516835321416,36.00027330855352,204876259
9,2007-10-18,41.684539794921875,47.19511021985141,39.900316398220355,43.89508311764632,146617799
10,2007-10-19,41.54243087768555,43.231918208033804,39.47399159696339,40.73715905394133,110266491
11,2007-10-22,40.98979187011719,42.26874710577262,39.63188439144995,40.705580071438305,72253405
12,2007-10-23,43.910865783691406,44.30560557735708,42.00032261242904,42.00032261242904,74594921
13,2007-10-24,43.231910705566406,45.316137504523475,42.742430831011035,44.842445507159994,63055170
14,2007-10-25,43.13718795776367,44.147723868051166,38.10030485627806,41.76349217706739,34522489
15,2007-10-26,44.431915283203125,45.1424468131102,42.71084830859254,43.895067525104324,62370025
16,2007-10-29,45.331932067871094,46.4214156844176,44.937192247847165,45.15824826034103,43657697
17,2007-10-30,46.34246063232422,47.58983570289287,44.589813529565,45.947720872675816,79921711
18,2007-10-31,47.305641174316406,48.34775708953385,46.42142550370955,46.57932146511806,44655368
19,2007-11-01,46.24772262573242,48.837217280205024,45.8687750091369,48.47405754143405,50632492
20,2007-11-02,47.08457946777344,47.36879559078176,44.21087245816839,44.574036552412,32001693
21,2007-11-05,48.0477409362793,49.105644467649114,46.76878140138708,47.05299748683046,38833135
22,2007-11-06,48.67933654785156,51.7583077733471,48.0161726580275,48.884600439577525,81880281
23,2007-11-07,47.96880340576172,50.27408264911961,46.89511176204985,49.57934301293049,33593141
24,2007-11-08,47.147743225097656,48.426703028505266,46.10563163701907,46.737215456024735,27990521
25,2007-11-12,48.284576416015625,49.137215957564194,44.479282797712145,45.726662074570186,35153735
26,2007-11-13,49.43722152709961,50.4319649229727,47.54247056993151,49.1056418228755,43830531
27,2007-11-14,48.78984832763672,51.000391035379394,48.537212305402896,50.305647328237164,36738579
28,2007-11-15,49.61089324951172,50.479320485310595,48.67930595601137,49.70562905286459,29242252
29,2007-11-16,49.26353454589844,50.38459374301475,48.69510672563626,49.389850411556544,18895294
30,2007-11-19,51.04777526855469,52.89515883575615,50.00566365792924,50.38461138761032,40716718
31,2007-11-20,50.25828552246094,52.26356465062055,49.642489694304444,50.84250130859894,26342171
32,2007-11-21,46.34246063232422,50.85828176942176,45.22139714500244,50.55828212200928,26814499
33,2007-11-22,44.74772262573242,47.716169919992176,42.80560329233611,45.85299427859882,34096185
34,2007-11-23,47.716163635253906,48.00037545191683,45.03192854863386,47.684583592691084,27664090
35,2007-11-26,48.0951042175293,49.484587336971344,47.71615661215451,49.484587336971344,20159123
36,2007-11-27,46.910892486572266,48.916171677605526,46.42141681114267,48.916171677605526,20573198
37,2007-11-28,46.21615219116211,48.158275727213855,45.90036030344008,47.93721969252779,16435311
38,2007-11-29,44.968772888183594,47.62142365738499,44.384557090137754,47.368791882490086,25530967
39,2007-11-30,46.70561218261719,46.989823903196246,45.15823345217585,45.789816957106986,18437721
40,2007-12-03,47.3687858581543,47.953001581899905,46.91088600579135,47.27404574221678,16851227
41,2007-12-04,46.75299072265625,48.07931809796022,46.405618859295615,47.68457831759603,14008727
42,2007-12-05,48.61616516113281,48.789853247031346,46.7372062400198,46.831942080909144,27725290
43,2007-12-06,47.716163635253906,50.416182318353535,47.10036779648321,49.67407059253279,24104710
44,2007-12-07,47.510887145996094,48.69510640986237,46.658251845932654,48.016154888552464,11742386
45,2007-12-10,47.55827331542969,48.142484897347664,46.942477404022114,47.96880106756692,8330010
46,2007-12-11,47.33721923828125,48.25301491940883,47.100375306099885,47.98459093962956,11685950
47,2007-12-12,47.305641174316406,47.731961126759806,46.42142550370955,46.737217426526584,16342131
48,2007-12-13,46.51615905761719,48.000382734442226,46.34247522197254,47.36879892016806,14620172
49,2007-12-14,46.058250427246094,46.78457424714731,45.821406541382856,46.35825439595328,10991851
50,2007-12-17,43.27928161621094,46.579307966593326,42.63190579212208,46.32667193163152,19355678
51,2007-12-18,43.08979797363281,44.52664883644282,41.74768293003224,42.78979407413619,21607783
52,2007-12-19,42.30031967163086,44.858233974144724,41.937159977313506,44.47928212073519,19526912
53,2007-12-20,41.8740119934082,43.20033957995825,41.68453601201514,42.8529676612712,17105204
54,2007-12-24,43.1529655456543,43.83191712324968,42.158217854981096,42.50558972448596,16711519
55,2007-12-26,44.46349334716797,45.000341081459666,43.38980216178468,43.38980216178468,20930094
56,2007-12-27,44.779300689697266,46.01088819171813,44.40034871221319,45.37930441804573,44565277
57,2007-12-28,45.126670837402344,45.31614681865188,44.21087097522979,44.68455878675294,18354518
58,2007-12-31,45.458248138427734,45.72667207377539,44.90561238814775,45.474040301213584,11982308
59,2008-01-01,46.29508972167969,46.72140953059241,45.26876631806049,45.69508612697321,16687746
60,2008-01-02,46.042449951171875,46.6424534412275,45.36349852076157,46.29508164702691,13437280
61,2008-01-03,47.93721389770508,48.12668986407408,45.20561525575533,45.75825099246428,31815218
62,2008-01-04,47.68460464477539,49.263564637992815,47.36881264613191,48.63198064070584,28011310
63,2008-01-07,47.289852142333984,48.37933167965762,46.78458422146411,47.38458800359622,15858063
64,2008-01-08,45.6793098449707,48.000381142069,45.12667402581405,47.33721730244067,13282666
65,2008-01-09,44.952980041503906,45.93193564993361,44.84245203546809,45.72667180055347,13113527
66,2008-01-10,43.87928771972656,46.42141467534245,43.57928374974917,45.15824727872369,18023003
67,2008-01-11,44.542449951171875,44.9687697897337,42.7898026777957,44.4792898701994,11629440
68,2008-01-14,45.221405029296875,45.69509282346182,43.910869655414096,44.62140134666152,10264240
69,2008-01-15,43.84770584106445,46.137196651512156,43.48454608639224,45.94772497651858,11558334
70,2008-01-16,42.94770812988281,43.89508385554779,41.858228615289214,43.53192401734992,14834065
71,2008-01-17,44.100341796875,45.079297343039904,42.18979862320458,43.10559408902303,16169395
72,2008-01-18,42.04770278930664,43.78455821086038,41.684538683693134,43.73718600007483,13254156
73,2008-01-21,34.89500427246094,41.68452832386621,30.394968747952472,41.68452832386621,33202389
74,2008-01-22,31.389720916748047,33.158156320260765,24.931775188549434,31.452878865101905,58755707
75,2008-01-23,34.89500427246094,36.237119491924766,31.894982017188838,31.894982017188838,28425991
76,2008-01-24,34.97395324707031,37.45291993434929,33.31604616288511,36.77396836603741,29911930
77,2008-01-25,36.77397537231445,36.94765919618236,35.289751796128165,36.63186731045775,12550722
78,2008-01-28,37.168704986572266,37.45291674876143,33.31604332916233,36.26869750363957,13601109
79,2008-01-29,36.55291748046875,37.800297078937724,36.00028170854982,37.26344918722165,7679877
80,2008-01-30,34.53184509277344,36.78975575911988,34.0739452384679,36.63185984842151,9016102
81,2008-01-31,32.2739372253418,34.98974816173187,31.89498740997591,34.895010172490224,41538563
82,2008-02-01,33.394996643066406,33.631840530134944,32.52656905714842,32.8265708857818,9089201
83,2008-02-04,35.116058349609375,35.52658814191313,34.02657700428041,34.02657700428041,12009385
84,2008-02-05,36.20553207397461,36.67921970194079,34.42130953194195,35.17920888004788,14593303
85,2008-02-06,35.88975143432617,36.31607128813455,33.88447447334736,35.21079981399487,12429218
86,2008-02-07,34.200279235839844,36.61608908353864,33.97922528587036,35.40028914630447,11300078
87,2008-02-08,33.3160514831543,34.70553488086193,32.7002556116968,34.42132304911287,13514197
88,2008-02-11,30.96339225769043,33.78973052753253,30.631810445639662,33.78973052753253,15133331
89,2008-02-12,30.41075325012207,32.10024001770661,30.158119414558033,31.894976230960793,10237627
90,2008-02-13,29.968652725219727,31.342345916731997,29.352859077879714,30.94760612464219,10395753
91,2008-02-14,32.58973693847656,32.921318909824045,30.631825161606162,30.631825161606162,12514003
92,2008-02-15,33.52131652832031,33.78974048901879,31.594985160203773,32.46341284980371,12080990
