Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,26.396028518676758,26.595494218043285,25.747761825305563,25.747761825305563,212976
2002-08-13,26.03864288330078,26.85313119156961,25.847488835709058,26.429265111753956,153576
2002-08-14,24.243459701538086,26.096832457038428,23.753103177250743,26.096832457038428,822776
2002-08-15,24.243459701538086,24.243459701538086,24.243459701538086,24.243459701538086,0
2002-08-16,24.185270309448242,25.265711938392663,23.76971583677731,24.118782608358178,811856
2002-08-19,23.586872100830078,24.384737237794052,23.362474195534286,24.384737237794052,205880
2002-08-20,24.243459701538086,25.747765530654956,23.59519291487511,23.753103177250743,3773624
2002-08-21,25.431921005249023,26.06356399500072,24.284992248960844,25.581519526037237,3011064
2002-08-22,26.52899169921875,27.64267689111921,26.138369581241864,26.271347485426073,6732480
2002-08-23,28.124717712402344,29.005693435771637,26.43756807723685,26.7616999607979,4841672
2002-08-26,28.024995803833008,28.756370691270178,27.80059536482623,28.573525701239227,2576912
2002-08-27,27.326860427856445,29.421255932504177,27.094150943492547,28.257703437998362,3694224
2002-08-28,27.351797103881836,27.65930590540452,26.786641474336644,27.243751414419815,1674960
2002-08-29,27.351797103881836,27.84215089597512,27.094152812202655,27.185575307487955,1236544
2002-08-30,29.288280487060547,30.003034730286174,27.426596844859937,27.4349084420816,3762384
2002-09-02,29.587467193603516,30.568174361326506,29.28826757988289,29.753688919410276,2389568
2002-09-03,28.19952392578125,29.878364916134668,27.92525900367524,29.753698581296835,986784
2002-09-04,28.814544677734375,29.08880958211429,27.5180143719487,27.842146314309392,1449856
2002-09-05,28.64000701904297,29.82849147495974,28.257696500299815,29.695513572395704,1061360
2002-09-06,27.576190948486328,28.756366543719512,27.268682192223423,28.756366543719512,907472
2002-09-09,27.218807220458984,28.38235928484502,26.2630323104276,26.2630323104276,880848
2002-09-10,27.218807220458984,27.218807220458984,27.218807220458984,27.218807220458984,0
2002-09-11,27.908634185791016,28.39067884089607,27.3684134329556,27.3684134329556,635936
2002-09-12,28.04991912841797,28.739738347261316,27.858765138524273,28.249384712729327,781968
2002-09-13,27.252056121826172,28.074853298693156,27.01934668024411,27.06921371382389,338264
2002-09-16,26.720136642456055,27.659288175539135,26.512359530150796,27.50968966921603,288592
2002-09-17,27.501401901245117,27.675935334043903,27.11078211353192,27.202202093067754,462952
2002-09-18,26.65365982055664,27.426589978130497,26.429259433471206,27.34347909940889,315432
2002-09-19,26.42926788330078,27.310243986679517,26.096824262127186,26.42926788330078,490848
2002-09-20,25.997087478637695,26.379398110805983,25.37375575325786,25.481801440796335,501072
2002-09-23,25.55660057067871,26.24641999430932,25.44855742020177,26.179932291914778,248504
2002-09-24,24.692243576049805,25.46517376494473,24.417976143348852,25.46517376494473,267912
2002-09-25,24.88340950012207,25.09949840424865,23.935945498091428,24.11879054073947,379544
2002-09-26,25.274017333984375,25.672948515331047,25.099483991016736,25.398683645198037,178136
2002-09-27,25.581531524658203,25.930598285344324,25.190911854345117,25.190911854345117,206288
2002-09-30,24.65068817138672,25.581528530356884,24.118779032497645,25.19090890576557,202232
2002-10-01,24.442903518676758,25.09947878084094,24.019037641268316,24.767035353280132,240192
